joinid,jointType,program,category
d58f4e371fb8fd9c829da86aea29be0bf4849dff6ad055a35257a5e82f6a0e4c,HAE,Music,Reality
d58f4e371fb8fd9c829da86aea29be0bf4849dff6ad055a35257a5e82f6a0e4c,HAE,Sports,Music
d58f4e371fb8fd9c829da86aea29be0bf4849dff6ad055a35257a5e82f6a0e4c,HAE,Lifestyle,Kids
d58f4e371fb8fd9c829da86aea29be0bf4849dff6ad055a35257a5e82f6a0e4c,HAE,Music,Fitness
d58f4e371fb8fd9c829da86aea29be0bf4849dff6ad055a35257a5e82f6a0e4c,HAE,News,Culture
a727e6b5b0d1665f36491bdf75850af15922f7c632dde3e336d970d8a06b4984,HAE,News,Music
a727e6b5b0d1665f36491bdf75850af15922f7c632dde3e336d970d8a06b4984,HAE,Sports,Reality
a727e6b5b0d1665f36491bdf75850af15922f7c632dde3e336d970d8a06b4984,HAE,Documentary,Fitness
a727e6b5b0d1665f36491bdf75850af15922f7c632dde3e336d970d8a06b4984,HAE,Series,Fitness
a727e6b5b0d1665f36491bdf75850af15922f7c632dde3e336d970d8a06b4984,HAE,Series,Education
9978d8eb90ea99bef3cf62118b67eb9669151609bd0022d951a330a1b35f2ea2,HAE,Series,Reality
9978d8eb90ea99bef3cf62118b67eb9669151609bd0022d951a330a1b35f2ea2,HAE,Children,Culture
9978d8eb90ea99bef3cf62118b67eb9669151609bd0022d951a330a1b35f2ea2,HAE,News,Lifestyle
9978d8eb90ea99bef3cf62118b67eb9669151609bd0022d951a330a1b35f2ea2,HAE,Documentary,Sports
9978d8eb90ea99bef3cf62118b67eb9669151609bd0022d951a330a1b35f2ea2,HAE,Children,Reality
f5c1a1294035ded91dd003ee3f46fabb4251bb122e569dd9ea45fce75b89fa0e,HAE,Lifestyle,Kids
3502e4bc4cee0ff61eb6fb489903b49359366414cd078f084bdcb598fe130d15,HAE,Music,Education
3502e4bc4cee0ff61eb6fb489903b49359366414cd078f084bdcb598fe130d15,HAE,Children,Entertainment
3502e4bc4cee0ff61eb6fb489903b49359366414cd078f084bdcb598fe130d15,HAE,Reality,Entertainment
3502e4bc4cee0ff61eb6fb489903b49359366414cd078f084bdcb598fe130d15,HAE,Education,Culture
3502e4bc4cee0ff61eb6fb489903b49359366414cd078f084bdcb598fe130d15,HAE,Education,Kids
cb641aa3b283293e4d3bbdcb233d6a1f7d92e1f6eb7d0dd553886b6b4952cdbd,HAE,Lifestyle,Reality
cb641aa3b283293e4d3bbdcb233d6a1f7d92e1f6eb7d0dd553886b6b4952cdbd,HAE,Music,Entertainment
cb641aa3b283293e4d3bbdcb233d6a1f7d92e1f6eb7d0dd553886b6b4952cdbd,HAE,Movies,Reality
cb641aa3b283293e4d3bbdcb233d6a1f7d92e1f6eb7d0dd553886b6b4952cdbd,HAE,Sports,Music
cb641aa3b283293e4d3bbdcb233d6a1f7d92e1f6eb7d0dd553886b6b4952cdbd,HAE,Sports,Information
6377527f713666ee89a626541ecb4cf80460164e3f4de429df4a9326fdd6fd10,HAE,Movies,Music
6377527f713666ee89a626541ecb4cf80460164e3f4de429df4a9326fdd6fd10,HAE,Education,Information
6377527f713666ee89a626541ecb4cf80460164e3f4de429df4a9326fdd6fd10,HAE,Lifestyle,Fitness
